name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
A B LABORATORIES (AYURVEDIC),Gasmo,Capsule,Amlapittantak Churna,AY-46-A-034,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Espec,Capsule,Echinacea,AY-46-A-035,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Ruchirise,Capsule,Ginger,AY-46-A-036,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Centac,Capsule,Thankuni,AY-46-A-037,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Travil,Capsule,Devil's Claw,AY-46-A-038,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Capsical,Capsule,Capsicum / Cayeni,AY-46-A-039,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Libix,Capsule,Cowhage,AY-46-A-040,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Prevail,Capsule,Ashwagandha,AY-46-A-041,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Nervorise,Liquid,Sanjivani Rasayan,AY-46-A-006,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Roti Gold,Capsule,Ratibilas Bati,AY-46-A-007,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Gaslow,Capsule,Amlapittantak Ras,AY-46-A-008,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Skinuza Plus,Capsule,Nimbadi Churna,AY-46-A-009,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Arthronil,Capsule,Nagendra Bati,AY-46-A-010,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Livoup,Capsule,Jakridari Louha,AY-46-A-011,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Urisafe,Capsule,Chandanadi Churna,AY-46-A-012,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Lofat,Capsule,Barabagni Ras,AY-46-A-013,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Livorise,Liquid,Rohitakarista,AY-46-A-014,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Jubo Plus,Capsule,Joubansatadal,AY-46-A-015,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Nonsolin,Capsule,Basanta Kusumakar Ras,AY-46-A-016,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Asthomit,Capsule,Swaskaschintamoni,AY-46-A-017,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Dysonil,Capsule,Maharaj Nripatiballiav,AY-46-A-018,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Diablex,Liquid,Jambadyarista,AY-46-A-019,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Precoder,Oil (Liquid),Shri Gopal Taila,AY-46-A-020,Ayurvedic,Not Specified
