name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
ACME LABORTORIES LTD. (HERBAL DIVISION),Megajoy 75 Tablet,Tablet,Yohimbine Hydrochloride,002-0011-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Orthogen,Tablet,Boron + Boswellia Serrata Extract + Glucosamine Sulfate Potassium Chloride + Undenatured Type II Collagen,002-027-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Disugar,Tablet,Rebaudioside A,002-028-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Moringa,Capsule,Moringa Leaf Powder,002-029-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Platimax,Tablet,Papaya Leaf Extract,002-030-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Folihair 1000,Capsule,Biotin,002-031-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Hepamilk,Capsule,Silymarin,002-016-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Folihair 5000,Capsule,Biotin,002-042-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Acme's Isabgul Powder,Powder,Ispaghula Husk,002-0001-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Menocare 40 mg,Capsule,Black Cohosh,002-0002-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Gingo 40 mg,Tablet,Ginkgo,002-0003-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Hepamilk 87.5 mg,Capsule,Milk Thistle,002-0004-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Acme's Spirulina 450 mg,Capsule,Spirulina,002-0005-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Perkup,Capsule,St. John's Wort,002-0006-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Prostacare,Capsule,Saw Palmetto,002-0007-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Lopid,Capsule,Garlic,002-0008-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Echina,Capsule,Echinacea,002-0009-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Gintonic,Capsule,Ginseng,002-0010-94,Herbal,Not Specified
ACME LABORTORIES LTD. (HERBAL DIVISION),Gingo 60 mg Capsule,Capsule,Ginkgo,002-015-94,Herbal,Not Specified
ALBION LABORATORIES LIMITED (HERBAL DIVISION),Silymarin 140,Capsule,Silymarin,041-002-94,Herbal,Not Specified
ALBION LABORATORIES LIMITED (HERBAL DIVISION),Hervas,Syrup,Basak,041-001-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Climac,Capsule,Black Cohosh,022-0001-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Bilogin,Capsule,Ginkgo,022-0002-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Silyforte,Capsule,Milk Thistle,022-0003-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Serena,Capsule,Saw Palmetto,022-0004-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Immuna,Capsule,Spirulina,022-0005-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Immuna,Capsule,Spirulina,022-0006-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Periwort,Capsule,St. John's Wort,022-0007-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Bilogin,Tablet,Ginkgo,022-0009-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Stedi,Tablet,Stevia Leave Powder,022-0010-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Valeforte,Tablet,Valerian,022-0011-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Erectil,Tablet,Pausinystalia Yohimbe,022-0012-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Stimugin,Capsule,Ginseng,022-0014-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Vasika,Syrup,Adhatoda Vasica,022-0015-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Silyforte,Syrup,Milk Thistle,022-0013-95,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Stimugin,Syrup,Ginseng,022-008-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),ENQ,Tablet,Coenzyme Q-10,022-016-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Pearlcal,Tablet,Pearlium,022-017-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Optivision,Capsule,Lutein (Powder) + Zeaxanthin,022-018-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Mucarin,Capsule,Mucuna Pruriens,022-019-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Uricalm,Capsule,Cranberry Concentrate Powder,022-020-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Bintone,Tablet,Biotin,022-021-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Biobust,Tablet,Biotin,022-022-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Glutalight,Capsule,L-Glutathione,022-023-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Skilighter,Soap Bar,Aloevera + Alpha Arbutin + Kojic Acid + Wheat Germ Oil,022-024-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Safe Wash,Mouth Wash,Clove (Liquid),022-025-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Myositol,Tablet,Myo Inositol + Vitex Eagnus Extract,022-026-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Cadetar,Soap Bar,Archis Oil + Cade Oil + Coal Tar Oil / Pine Tar Oil,022-027-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Fertility,Tablet,Dehydroepiandrosterone,022-028-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Prastone,Tablet,Dehydroepiandrosterone,022-029-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Arnipain,Ointment,Arnica Flower,022-032-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Taraxacum,Capsule,Dandelion,022-033-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Garcicam,Capsule,Garcinai Cambogia + Gymnema Sylvertre,022-034-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Goldrod,Capsule,Goldenrod (Solodago Virgauria),022-035-94,Herbal,Not Specified
ALIEN PHARMA (HERBAL),Diabetogen,Capsule,Gurmar + Methi Seed,022-036-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Areds Softgel Capsule,Soft Gelatin Capsule,Copper + Lutein (Powder) + Omega 3 Fish Oil + Vitamin C (L-Ascorbic Acid) + Vitamin E (Dl-alpha-tocopheryl acetate) + Zeaxanthin + Zinc,038-024-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Ginsenia,Capsule,Ginkgo Biloba + Panax Ginseng,038-025-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Goodbac-GG 20,Capsule,Lactobacillus rhamnosus GG Blend,038-026-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Goodbac-L,Syrup,Bacillus Subtills HU58,038-027-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Oralin-T,Oral Rinse,Honey Liquid + Triphala Extract + Turmeric Extract,038-028-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Fosibon-DK,Tablet,Calcium + Vitamin D3 + Vitamin K2 (Menaquinone-7,038-029-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Encof,Syrup,Adhatoda Vasica + Cinnamomum tamala + Cinnamomum Zeylanicum + Elettaria Cardamomum + Glycyrrhiza Glabra + Myrica Nagi + Piper Longum + Piper Nigrum + Pistacia Integerrima + Sausurea Lappa + Syzygium Aromaticum + Terminalia Chebula (Haritaki) + Zingiber Of,038-030-94,Herbal,Not Specified
