name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
ALIF HOEOMO LABORATORIES,Andrographis Peniculata,Liquid,Andrographis Paniculata,H-66-A-1,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Hydratis Can.,Liquid,Not Specified,H-66-A-2,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Jonosia Asoka,Liquid,Not Specified,H-66-A-3,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Terminalia Arjuna,Liquid,Not Specified,H-66-A-4,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Carica Papaya,Liquid,Not Specified,H-66-A-5,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Blatta Orientalis,Liquid,Not Specified,H-66-A-7,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Cynodon Daotylon,Liquid,Not Specified,H-66-A-8,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Alstonia Scholaris,Liquid,Not Specified,H-66-A-10,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Avena Sativa,Liquid,Not Specified,H-66-A-11,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Nux Vomica,Liquid,Not Specified,H-66-A-12,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Cinchona Officinalis,Liquid,Not Specified,H-66-A-13,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Rhus Tox,Liquid,Not Specified,H-66-A-14,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Medicago Sativa,Liquid,Not Specified,H-66-A-15,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Ceanothus Americanus,Liquid,Ceanothus Americanus,H-66-A-16,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Atista Radix,Liquid,Not Specified,H-66-A-17,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Artemisia Abrotanum,Liquid,Artemisia Abrotanum,H-66-A-18,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Cantharis,Liquid,Not Specified,H-66-A-19,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Belladonna,Liquid,Not Specified,H-66-A-20,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Lycopodium Clavatum,Liquid,Not Specified,H-66-A-21,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Chelidonium Majus,Liquid,Not Specified,H-66-A-22,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Calendula Oddicinalis,Liquid,Not Specified,H-66-A-23,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Cina,Liquid,Not Specified,H-66-A-24,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Berberis Vulgaris,Liquid,Not Specified,H-66-A-25,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Krerosote,Liquid,Kreosote,H-66-A-26,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Secale Cornutum,Liquid,Not Specified,H-66-A-27,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Aralia Quinquefolif,Liquid,Aralia Quinquefolif,H-66-A-28,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Apis Mellifica,Liquid,Not Specified,H-66-A-29,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Eriodictyon Glutinosum,Liquid,Eriodictyon Glutinosum,H-66-A-30,Homeopathic,Not Specified
ALIF HOEOMO LABORATORIES,Embelica Officinalis,Liquid,Embelica Officinalis 3X,H-66-A-6,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Calcarea Phosphorica,Tablet,Calcarea Phosphorica,H-47-A-18,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-47-A-19,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Magnesium Phosphoricum,Tablet,Magnesium Phosphoricum,H-47-A-20,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Amloki,Liquid,Not Specified,H-47-A-26,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Santonine,Tablet,Santonine 1X,H-47-A-27,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Zincum Phosphoricum,Tablet,Zincum Phosphoricum,H-47-A-28,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Acidum Citricum,Tablet,Acidum Citricum,H-47-A-29,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Nux Vomica,Liquid,Not Specified,H-47-A-30,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Acidum Phosphoricum,Liquid,Acidum Phosphoricum 1X,H-47-A-31,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Magnesium Carbonate,Tablet,Magnesium Carbonate 1X,H-47-A-32,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Terminalia Chebula,Liquid,Terminalia Chebula (Haritaki),H-47-A-33,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Acidum Benzoicum,Liquid,Acid Benzoic,H-47-A-34,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Borax,Tablet,Not Specified,H-47-A-36,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Asoka,Liquid,Not Specified,H-47-A-37,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Cinnamomum,Liquid,Not Specified,H-47-A-38,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Kalamegh,Liquid,Not Specified,H-47-A-39,Homeopathic,Not Specified
ALLEN MXN HOMOEO LABORATORY,Calcarea Carbonica,Tablet,Calcarea Carb,H-47-A-40,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Agnus Cast,Liquid,Not Specified,H-70-A-1,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Pulsatilla,Liquid,Not Specified,H-70-A-2,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Nux Vomica,Liquid,Not Specified,H-70-A-3,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Jonosia Asoka,Liquid,Not Specified,H-70-A-4,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Justicia Adhatoda,Liquid,Not Specified,H-70-A-5,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Medicago Sativa,Liquid,Not Specified,H-70-A-6,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Avena Sativa,Liquid,Not Specified,H-70-A-7,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,China Officinalis,Liquid,Chinchona Officinalis  China,H-70-A-9,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Colophyllum T,Liquid,Colophyllum T,H-70-A-11,Homeopathic,Not Specified
AMIBA HOMOEO LABORATORY,Kalmegh,Liquid,Not Specified,H-70-A-12,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Alstonia Scholaris,Liquid,Not Specified,H-9-A-1,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Hydratis Canadensis,Liquid,Not Specified,H-9-A-2,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Justicia Adhatoda,Liquid,Not Specified,H-9-A-3,Homeopathic,Not Specified
