name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
4-S LABARATORIES (UNANI),Sharbat Amrood,Liquid,Sharbat Amrood,U-297-A-034,Unani,Not Specified
4-S LABARATORIES (UNANI),Sharbat Ejaz,Liquid,Sharbat Ejaz,U-297-A-035,Unani,Not Specified
4-S LABARATORIES (UNANI),Sharbat Buzuri,Liquid,Sharbat Buzuri,U-297-A-036,Unani,Not Specified
4-S LABARATORIES (UNANI),Qurs Niswani,Tablet,Qurs Niswani,U-297-A-037,Unani,Not Specified
4-S LABARATORIES (UNANI),Qurs Bandish,Capsule,Qurs Bandish,U-297-A-038,Unani,Not Specified
4-S LABARATORIES (UNANI),Qurs Asfar,Capsule,Qurs Asfar,U-297-A-039,Unani,Not Specified
4-S LABARATORIES (UNANI),Habbe Hayateen Murakkab,Tablet,Habb-e Hayaeen Murakkab,U-297-A-040,Unani,Not Specified
4-S LABARATORIES (UNANI),Habbe Hayateen Murakkab Jaw,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-297-A-041,Unani,Not Specified
4-S LABARATORIES (UNANI),Brewers Yeast,Capsule,Brewers Yeast,U-297-A-042,Unani,Not Specified
4-S LABARATORIES (UNANI),Gokkur,Capsule,Puncture Vine,U-297-A-043,Unani,Not Specified
4-S LABARATORIES (UNANI),Harbikof,Liquid,Sharbat Tulsi,U-20-A-001,Unani,Not Specified
4-S LABARATORIES (UNANI),Hazmi-S,Liquid,Sharbat Hazmina,U-20-A-002,Unani,Not Specified
4-S LABARATORIES (UNANI),Leucobin,Liquid,Sharbat Niswan,U-20-A-003,Unani,Not Specified
4-S LABARATORIES (UNANI),Hemoplus,Liquid,Sharbat Faulad,U-20-A-004,Unani,Not Specified
4-S LABARATORIES (UNANI),Bilicon,Liquid,Sharbat Chylosin,U-20-A-005,Unani,Not Specified
4-S LABARATORIES (UNANI),Jinsin-S,Liquid,Sharbat Jinsin,U-20-A-006,Unani,Not Specified
4-S LABARATORIES (UNANI),Sebton,Liquid,Sharbat Seb,U-20-A-007,Unani,Not Specified
4-S LABARATORIES (UNANI),Hemosaf,Liquid,Sharbat Musaffi,U-20-A-008,Unani,Not Specified
4-S LABARATORIES (UNANI),Neogut,Liquid,Sharbat Atfal,U-20-A-009,Unani,Not Specified
4-S LABARATORIES (UNANI),Crodis,Liquid,Sharbat Kurchi,U-20-A-010,Unani,Not Specified
4-S LABARATORIES (UNANI),Ex-V,Capsule,Habb-e Ambar Momiyaee,U-20-A-011,Unani,Not Specified
4-S LABARATORIES (UNANI),Jointis,Capsule,Qurs Awja,U-20-A-013,Unani,Not Specified
4-S LABARATORIES (UNANI),Strayon,Capsule,Habb-e Ambari,U-20-A-014,Unani,Not Specified
4-S LABARATORIES (UNANI),Harbitis,Tablet,Qurs Ziabit,U-20-A-015,Unani,Not Specified
4-S LABARATORIES (UNANI),Hazmi-S,Tablet,Qurs Hazmina,U-20-A-016,Unani,Not Specified
4-S LABARATORIES (UNANI),Harbolax,Tablet,Qurs Mulayin,U-20-A-017,Unani,Not Specified
4-S LABARATORIES (UNANI),Orthotin,Tablet,Kushta Khare Mohra,U-297-A-018,Unani,Not Specified
4-S LABARATORIES (UNANI),Caretin-S,Liquid,Sharbat Samarat,U-297-A-019,Unani,Not Specified
4-S LABARATORIES (UNANI),Zinoron-S,Capsule,Qurs Faulad,U-297-A-020,Unani,Not Specified
4-S LABARATORIES (UNANI),Enerbin,Capsule,Habb-e Asabin,U-297-A-021,Unani,Not Specified
4-S LABARATORIES (UNANI),Rheucol,Capsule,Habb-e Suranjan,U-297-A-022,Unani,Not Specified
4-S LABARATORIES (UNANI),4-Cid,Powder,Sufoof Mundamil,U-297-A-023,Unani,Not Specified
4-S LABARATORIES (UNANI),Flucea,Capsule,Echinacea,U-297-A-024,Unani,Not Specified
4-S LABARATORIES (UNANI),Ezolax,Powder,Ispaghula Husk,U-297-A-025,Unani,Not Specified
4-S LABARATORIES (UNANI),Kavagen,Capsule,Kava Kava,U-297-A-026,Unani,Not Specified
4-S LABARATORIES (UNANI),Ginobil,Capsule,Ginkgo Biloba 120 mg,U-297-A-027,Unani,Not Specified
4-S LABARATORIES (UNANI),Oviset,Capsule,Black Cohosh,U-297-A-028,Unani,Not Specified
4-S LABARATORIES (UNANI),Leaf kof,Liquid,Sharbat Vasac,U-297-A-029,Unani,Not Specified
4-S LABARATORIES (UNANI),Sylwel,Capsule,Milk Thistle 140 mg,U-297-A-030,Unani,Not Specified
4-S LABARATORIES (UNANI),S-Pal,Capsule,Saw Palmetto 160 mg,U-297-A-031,Unani,Not Specified
4-S LABARATORIES (UNANI),Imuline,Capsule,Spirulina,U-297-A-032,Unani,Not Specified
4-S LABARATORIES (UNANI),Veribon,Capsule,Horsetail,U-297-A-033,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Karmolin,Liquid,Arq Nankha,U-114-A-001,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Hematin,Liquid,Sharbat Faulad,U-114-A-002,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Hepazin,Liquid,Sharbat Deenar,U-114-A-003,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Renaton,Liquid,Sharbat Buzuri,U-114-A-004,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Santara,Liquid,Sharbat Santara,U-114-A-005,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Gauzaban,Liquid,Sharbat Gaozaban,U-114-A-006,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Vitolin,Liquid,Sharbat Seb,U-114-A-007,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Majoon Famalsafa,Semi-Solid,Majoon Falasefa,U-114-A-008,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Coflex,Liquid,Sharbat Ejaz,U-114-A-009,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Qurs Hazmina,Tablet,Qurs Hazmina,U-114-A-010,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Saffodin,Tablet,Qurs Pechish,U-114-A-011,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Castorin,Tablet,Habb-e Nishat,U-114-A-012,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Vitolex,Tablet,Habb-e Ambar Momiyaee,U-114-A-013,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Rheumacon,Tablet,Habb-e Suranjan,U-114-A-014,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Lomosis,Liquid,Sharbat Belgiri,U-114-A-015,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Leucomin,Liquid,Sharbat Niswan,U-114-A-016,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Vitolex,Capsule,Habb-e Ambar Momiyaee,U-114-A-017,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Castorin,Capsule,Habb-e Nishat,U-114-A-018,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Durex,Capsule,Habb-e Mumsik,U-114-A-019,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Atfol,Liquid,Sharbat Atfal,U-114-A-020,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Mosaffi,Liquid,Sharbat Musaffi,U-114-A-021,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Qurs Salajit,Tablet,Qurs Salajeet,U-114-A-022,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Anjebab,Liquid,Sharbat Anjebar,U-114-A-023,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Habee Azaraki,Tablet,Habb-e Azaraqi,U-114-A-024,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Kirmin,Liquid,Sharbat Kirmin,U-114-A-025,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Habbe Jirian,Tablet,Habb-e Jiryan,U-114-A-026,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Habbe Bawasir Damvhi,Tablet,Habb-e Bawaseer Damavi,U-114-A-027,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Habbe Bawasir Badi,Tablet,Habb-e Bawaseer Badi,U-114-A-028,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Sharbat Jiriani,Liquid,Sharbat Jiryani,U-114-A-029,Unani,Not Specified
A. H. JANOKALLAY PHARMACEUTICALS (UNANI),Habbe Mudir,Tablet,Habb-e Mudir,U-114-A-030,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Deenar,Liquid,Sharbat Deenar,U-311-A-001,Unani,Not Specified
A. K. LABORATORIES (UNANI),Arq Nankha,Liquid,Arq Nankha,U-311-A-002,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Faulad,Liquid,Sharbat Faulad,U-311-A-003,Unani,Not Specified
A. K. LABORATORIES (UNANI),A.K-Safe,Liquid,Sharbat Niswan,U-311-A-004,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Misali,Liquid,Sharbat Misali,U-311-A-005,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Jinsin,Liquid,Sharbat Jinsin,U-311-A-006,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Khaksi,Liquid,Sharbat Khaksi,U-311-A-007,Unani,Not Specified
A. K. LABORATORIES (UNANI),Amabel,Liquid,Sharbat Belgiri,U-311-A-008,Unani,Not Specified
A. K. LABORATORIES (UNANI),A.K-Hazmina,Liquid,Sharbat Hazmina,U-311-A-009,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Tamarind,Liquid,Sharbat Tamarind,U-311-A-010,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Dimaghi,Liquid,Sharbat Dimaghi,U-311-A-011,Unani,Not Specified
A. K. LABORATORIES (UNANI),Cyline,Liquid,Sharbat Musaffi,U-311-A-012,Unani,Not Specified
A. K. LABORATORIES (UNANI),Sharbat Atfal,Liquid,Sharbat Atfal,U-311-A-013,Unani,Not Specified
A. K. LABORATORIES (UNANI),Afcin,Liquid,Sharbat Sadar,U-311-A-014,Unani,Not Specified
A. K. LABORATORIES (UNANI),Arq Zeera,Liquid,Arq Zeera,U-311-A-015,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Crepty,Capsule,Habb-e Hayaeen Murakkab,U-288-A-029,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Fatigo,Capsule,Garlic Pearls,U-288-A-030,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Febia,Liquid,Sharbat Shefa,U-288-A-031,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Sorbolin,Tablet,Habb-e Musaffi,U-288-A-032,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Calsure Plus,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-288-A-033,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Deepgel,Malam,Marham Zaituni,U-288-A-034,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Marham Raskapur,Malam,Marham Raskapur,U-288-A-035,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Zalik,Malam,Zimad Eczema,U-288-A-036,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Jowarish Kundur,Semi-Solid,Jowarish Kundur,U-288-A-037,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Sorbolin,Liquid,Sharbat Musaffi,U-288-A-038,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Qurs Awja,Capsule,Qurs Awja,U-288-A-040,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Ginkgo Biloba,Capsule,Ginkgo Biloba 120 mg,U-288-A-041,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Ginseng,Capsule,Ginseng,U-288-A-042,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Majoon Mughalliz,Semi-Solid,Majoon Mughalliz,U-288-A-043,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Majoon Ushba,Semi-Solid,Majoon Ushba,U-288-A-044,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Active Amloki Plus,Liquid,Sharbat Amla,U-288-A-029,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Sufzin,Powder,Sufoof Humuzin,U-288-A-001,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Rosat,Capsule,Qurs Espand,U-288-A-002,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Hepnar,Liquid,Sharbat Deenar,U-288-A-003,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Acsun,Liquid,Arq Lahsun,U-288-A-004,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Heptar,Tablet,Habb-e Yarqan,U-288-A-005,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Liptas,Tablet,Qurs Surfin,U-288-A-006,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Lilex,Tablet,Qurs Mulayin,U-288-A-007,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Febia,Tablet,Habb-e Shefa,U-288-A-008,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Wardi,Tablet,Qurs Deedan,U-288-A-009,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Atoril,Capsule,Qurs Pechish,U-288-A-010,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Nalba,Liquid,Sharbat Santara,U-288-A-011,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Aviva,Liquid,Sharbat Seb,U-288-A-012,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Regu-M,Liquid,Sharbat Niswan,U-288-A-013,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Dexoran,Liquid,Sharbat Faulad,U-288-A-014,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Rodam,Liquid,Arq Nankha,U-288-A-015,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Activas,Liquid,Sharbat Ejaz,U-288-A-016,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Sharbat Belgiri,Liquid,Sharbat Belgiri,U-288-A-017,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Acmin,Liquid,Sharbat Kirmin,U-288-A-018,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Avindo,Liquid,Sharbat Tiflin,U-288-A-019,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Atomex,Liquid,Sharbat Gaozaban,U-288-A-020,Unani,Not Specified
ACTIVE UNANI LABORATORIES,P-5,Tablet,Habb-e Papita,U-288-A-021,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Zosat,Tablet,Habb-e Nishat,U-288-A-022,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Marve,Liquid,Habb-e Marwareedi,U-288-A-023,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Azar,Tablet,Habb-e Azaraqi,U-288-A-024,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Vigo-A,Capsule,Habb-e Munish,U-288-A-025,Unani,Not Specified
ACTIVE UNANI LABORATORIES,Sypon,Liquid,Sharbat Hazmina,U-288-A-026,Unani,Not Specified
ACTIVE UNANI LABORATORIES,REO-A,Capsule,Habb-e Suranjan,U-288-A-027,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Arq Maullaham,Liquid,Arq Maul Lahm,U-111-A-001,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Dyrodex,Liquid,Sharbat Belgiri,U-111-A-002,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Alkodex,Liquid,Sharbat Tamarind,U-111-A-003,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Coughdex,Liquid,Sharbat Ejaz,U-111-A-004,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Etrifal Deedan,Liquid,Etrifal Deedan,U-111-A-005,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Hemofresh,Liquid,Sharbat Musaffi,U-111-A-006,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Digipep,Liquid,Arq Hazim,U-111-A-007,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Dexavit,Liquid,Sharbat Seb,U-111-A-008,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Irodex,Liquid,Sharbat Faulad,U-111-A-009,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Livodex,Liquid,Sharbat Deenar,U-111-A-010,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Grisol,Liquid,Sharbat Tiflin,U-111-A-011,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Leucofresh,Liquid,Sharbat Sailan,U-111-A-012,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Gaudex,Liquid,Habb-e Suranjan,U-111-A-013,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Rhemodex,Liquid,Habb-e Nishat,U-111-A-014,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Fevadex,Liquid,Arq Bukhar,U-111-A-015,Unani,Not Specified
ADEX PHARMACEUTICALS (UNANI),Hormodex,Liquid,Sharbat Jinsin,U-111-A-016,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Dunik,Capsule,Habb-e Ambar Momiyaee,U-42-A-020,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Libinik,Capsule,Habb-e Nishat,U-42-A-021,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Menrin,Capsule,Habb-e Mumsik,U-42-A-022,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Safnik,Capsule,Habb-e Musaffi,U-42-A-023,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),CAlup,Capsule,Habb-e Azaraqi,U-42-A-024,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Prevenik,Capsule,Habb-e Munish,U-42-A-025,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Utonik,Capsule,Qurs Rehmin,U-42-A-026,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),No Piles,Capsule,Habb-e Bawaseer Badi,U-42-A-027,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Ambor,Capsule,Habb-e Ambari,U-42-A-028,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),NONE,Capsule,Habb-e Jiryan,U-42-A-029,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Aspane,Capsule,Qurs Espand,U-42-A-030,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Obenik,Tablet,Habb-e Tinkar,U-42-A-031,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Apsil,Tablet,Qurs Hazmina,U-42-A-032,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Arthonia,Tablet,Habb-e Suranjan,U-42-A-033,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),DD Nil,Tablet,Qurs Pechish,U-42-A-034,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Adcid,Tablet,Qurs Rhubarb,U-42-A-035,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Papanik,Tablet,Habb-e Papita,U-42-A-036,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),CC Nil,Tablet,Qurs Surfin,U-42-A-037,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Garlinik,Tablet,Qurs Garlitab,U-42-A-038,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Diabenik,Tablet,Qurs Ziabit,U-42-A-039,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Safnik,Liquid,Sharbat Musaffi,U-42-A-040,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Ladinil,Liquid,Sharbat Niswan,U-42-A-041,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Aptov,Liquid,Sharbat Misali,U-42-A-017,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),EY-30,Liquid,Sharbat Jinsin,U-42-A-011,Unani,Not Specified
