SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
1,A B Laboratories (Ayurvedic),Gasmo,Capsule,Amlapittantak Churna,AY-46-A-034
2,A B Laboratories (Ayurvedic),Espec,Capsule,Echinacea,AY-46-A-035
3,A B Laboratories (Ayurvedic),Ruchirise,Capsule,Ginger,AY-46-A-036
4,A B Laboratories (Ayurvedic),Centac,Capsule,Thankuni,AY-46-A-037
5,A B Laboratories (Ayurvedic),Travil,Capsule,Devil's Claw,AY-46-A-038
6,A B Laboratories (Ayurvedic),Capsical,Capsule,Capsicum / Cayeni,AY-46-A-039
7,A B Laboratories (Ayurvedic),Libix,Capsule,Cowhage,AY-46-A-040
8,A B Laboratories (Ayurvedic),Prevail,Capsule,Ashwagandha,AY-46-A-041
9,A B Laboratories (Ayurvedic),Nervorise,Liquid,Sanjivani Rasayan,AY-46-A-006
10,A B Laboratories (Ayurvedic),Roti Gold,Capsule,Ratibilas Bati,AY-46-A-007
11,A B Laboratories (Ayurvedic),Gaslow,Capsule,Amlapittantak Ras,AY-46-A-008
12,A B Laboratories (Ayurvedic),Skinuza Plus,Capsule,Nimbadi Churna,AY-46-A-009
13,A B Laboratories (Ayurvedic),Arthronil,Capsule,Nagendra Bati,AY-46-A-010
14,A B Laboratories (Ayurvedic),Livoup,Capsule,Jakridari Louha,AY-46-A-011
15,A B Laboratories (Ayurvedic),Urisafe,Capsule,Chandanadi Churna,AY-46-A-012
16,A B Laboratories (Ayurvedic),Lofat,Capsule,Barabagni Ras,AY-46-A-013
17,A B Laboratories (Ayurvedic),Livorise,Liquid,Rohitakarista,AY-46-A-014
18,A B Laboratories (Ayurvedic),Jubo Plus,Capsule,Joubansatadal,AY-46-A-015
19,A B Laboratories (Ayurvedic),Nonsolin,Capsule,Basanta Kusumakar Ras,AY-46-A-016
20,A B Laboratories (Ayurvedic),Asthomit,Capsule,Swaskaschintamoni,AY-46-A-017
21,A B Laboratories (Ayurvedic),Dysonil,Capsule,Maharaj Nripatiballiav,AY-46-A-018
22,A B Laboratories (Ayurvedic),Diablex,Liquid,Jambadyarista,AY-46-A-019
23,A B Laboratories (Ayurvedic),Precoder,Oil (Liquid),Shri Gopal Taila,AY-46-A-020
24,A B Laboratories (Ayurvedic),AB Cid,Liquid,Amalaki Rasayan,AY-46-A-021
25,A B Laboratories (Ayurvedic),Spermex,Semi-Solid,Sukrasanjibani Modak,AY-46-A-022
26,A B Laboratories (Ayurvedic),Memo Care,Capsule,Saraswata Churna,AY-46-A-023
27,A B Laboratories (Ayurvedic),Whitenil,Capsule,Pushyanugn Churna,AY-46-A-024
28,A B Laboratories (Ayurvedic),Pylo-9,Capsule,Arshahara Bati,AY-46-A-025
29,A B Laboratories (Ayurvedic),Zymosafe,Liquid,Mustakarista,AY-46-A-001
30,A B Laboratories (Ayurvedic),AB Card,Liquid,Arjunarista,AY-46-A-002
31,A B Laboratories (Ayurvedic),AB-Balarist,Liquid,Balarista,AY-46-A-003
32,A B Laboratories (Ayurvedic),AB Cough,Liquid,Draksharista,AY-46-A-004
33,A B Laboratories (Ayurvedic),Femisafe,Liquid,Ashokarista,AY-46-A-005
34,A B Laboratories (Ayurvedic),Slinoba,Capsule,Neem,AY-46-A-043
