SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
1,Acme Labortories Ltd. (Herbal Division),Megajoy 75 Tablet,Tablet,Yohimbine Hydrochloride,002-0011-94
2,Acme Labortories Ltd. (Herbal Division),Orthogen,Tablet,Boron + Boswellia Serrata Extract + Glucosamine Sulfate Potassium Chloride + Undenatured Type II Collagen,002-027-94
3,Acme Labortories Ltd. (Herbal Division),Disugar,Tablet,Rebaudioside A,002-028-94
4,Acme Labortories Ltd. (Herbal Division),Moringa,Capsule,Moringa Leaf Powder,002-029-94
5,Acme Labortories Ltd. (Herbal Division),Platimax,Tablet,Papaya Leaf Extract,002-030-94
6,Acme Labortories Ltd. (Herbal Division),Folihair 1000,Capsule,Biotin,002-031-94
7,Acme Labortories Ltd. (Herbal Division),Hepamilk,Capsule,Silymarin,002-016-94
8,Acme Labortories Ltd. (Herbal Division),Folihair 5000,Capsule,Biotin,002-042-94
9,Acme Labortories Ltd. (Herbal Division),Acme's Isabgul Powder,Powder,Ispaghula Husk,002-0001-94
10,Acme Labortories Ltd. (Herbal Division),Menocare 40 mg,Capsule,Black Cohosh,002-0002-94
11,Acme Labortories Ltd. (Herbal Division),Gingo 40 mg,Tablet,Ginkgo,002-0003-94
12,Acme Labortories Ltd. (Herbal Division),Hepamilk 87.5 mg,Capsule,Milk Thistle,002-0004-94
13,Acme Labortories Ltd. (Herbal Division),Acme's Spirulina 450 mg,Capsule,Spirulina,002-0005-94
14,Acme Labortories Ltd. (Herbal Division),Perkup,Capsule,St. John's Wort,002-0006-94
15,Acme Labortories Ltd. (Herbal Division),Prostacare,Capsule,Saw Palmetto,002-0007-94
16,Acme Labortories Ltd. (Herbal Division),Lopid,Capsule,Garlic,002-0008-94
17,Acme Labortories Ltd. (Herbal Division),Echina,Capsule,Echinacea,002-0009-94
18,Acme Labortories Ltd. (Herbal Division),Gintonic,Capsule,Ginseng,002-0010-94
19,Acme Labortories Ltd. (Herbal Division),Gingo 60 mg Capsule,Capsule,Ginkgo,002-015-94
20,Albion Laboratories Limited (Herbal Division),Silymarin 140,Capsule,Silymarin,041-002-94
21,Albion Laboratories Limited (Herbal Division),Hervas,Syrup,Basak,041-001-94
22,Alien Pharma (Herbal),Climac,Capsule,Black Cohosh,022-0001-94
23,Alien Pharma (Herbal),Bilogin,Capsule,Ginkgo,022-0002-94
24,Alien Pharma (Herbal),Silyforte,Capsule,Milk Thistle,022-0003-94
25,Alien Pharma (Herbal),Serena,Capsule,Saw Palmetto,022-0004-94
26,Alien Pharma (Herbal),Immuna,Capsule,Spirulina,022-0005-94
27,Alien Pharma (Herbal),Immuna,Capsule,Spirulina,022-0006-94
28,Alien Pharma (Herbal),Periwort,Capsule,St. John's Wort,022-0007-94
29,Alien Pharma (Herbal),Bilogin,Tablet,Ginkgo,022-0009-94
30,Alien Pharma (Herbal),Stedi,Tablet,Stevia Leave Powder,022-0010-94
31,Alien Pharma (Herbal),Valeforte,Tablet,Valerian,022-0011-94
32,Alien Pharma (Herbal),Erectil,Tablet,Pausinystalia Yohimbe,022-0012-94
33,Alien Pharma (Herbal),Stimugin,Capsule,Ginseng,022-0014-94
34,Alien Pharma (Herbal),Vasika,Syrup,Adhatoda Vasica,022-0015-94
35,Alien Pharma (Herbal),Silyforte,Syrup,Milk Thistle,022-0013-95
36,Alien Pharma (Herbal),Stimugin,Syrup,Ginseng,022-008-94
37,Alien Pharma (Herbal),ENQ,Tablet,Coenzyme Q-10,022-016-94
38,Alien Pharma (Herbal),Pearlcal,Tablet,Pearlium,022-017-94
39,Alien Pharma (Herbal),Optivision,Capsule,Lutein (Powder) + Zeaxanthin,022-018-94
40,Alien Pharma (Herbal),Mucarin,Capsule,Mucuna Pruriens,022-019-94
41,Alien Pharma (Herbal),Uricalm,Capsule,Cranberry Concentrate Powder,022-020-94
42,Alien Pharma (Herbal),Bintone,Tablet,Biotin,022-021-94
43,Alien Pharma (Herbal),Biobust,Tablet,Biotin,022-022-94
44,Alien Pharma (Herbal),Glutalight,Capsule,L-Glutathione,022-023-94
45,Alien Pharma (Herbal),Skilighter,Soap Bar,Aloevera + Alpha Arbutin + Kojic Acid + Wheat Germ Oil,022-024-94
46,Alien Pharma (Herbal),Safe Wash,Mouth Wash,Clove (Liquid),022-025-94
47,Alien Pharma (Herbal),Myositol,Tablet,Myo Inositol + Vitex Eagnus Extract,022-026-94
48,Alien Pharma (Herbal),Cadetar,Soap Bar,Archis Oil + Cade Oil + Coal Tar Oil / Pine Tar Oil,022-027-94
49,Alien Pharma (Herbal),Fertility,Tablet,Dehydroepiandrosterone,022-028-94
50,Alien Pharma (Herbal),Prastone,Tablet,Dehydroepiandrosterone,022-029-94
51,Alien Pharma (Herbal),Arnipain,Ointment,Arnica Flower,022-032-94
52,Alien Pharma (Herbal),Taraxacum,Capsule,Dandelion,022-033-94
53,Alien Pharma (Herbal),Garcicam,Capsule,Garcinai Cambogia + Gymnema Sylvertre,022-034-94
54,Alien Pharma (Herbal),Goldrod,Capsule,Goldenrod (Solodago Virgauria),022-035-94
55,Alien Pharma (Herbal),Diabetogen,Capsule,Gurmar + Methi Seed,022-036-94
56,"Aristopharma Ltd., (Herbal Division)",Areds Softgel Capsule,Soft Gelatin Capsule,Copper + Lutein (Powder) + Omega 3 Fish Oil + Vitamin C (L-Ascorbic Acid) + Vitamin E (Dl-alpha-tocopheryl acetate) + Zeaxanthin + Zinc,038-024-94
