SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
1,Alif Hoeomo Laboratories,Andrographis Peniculata,Liquid,Andrographis Paniculata,H-66-A-1
2,Alif Hoeomo Laboratories,Hydratis Can.,Liquid,FALSE,H-66-A-2
3,Alif Hoeomo Laboratories,Jonosia Asoka,Liquid,FALSE,H-66-A-3
4,Alif Hoeomo Laboratories,Terminalia Arjuna,Liquid,FALSE,H-66-A-4
5,Alif Hoeomo Laboratories,Carica Papaya,Liquid,FALSE,H-66-A-5
6,Alif Hoeomo Laboratories,Blatta Orientalis,Liquid,FALSE,H-66-A-7
7,Alif Hoeomo Laboratories,Cynodon Daotylon,Liquid,FALSE,H-66-A-8
8,Alif Hoeomo Laboratories,Alstonia Scholaris,Liquid,FALSE,H-66-A-10
9,Alif Hoeomo Laboratories,Avena Sativa,Liquid,FALSE,H-66-A-11
10,Alif Hoeomo Laboratories,Nux Vomica,Liquid,FALSE,H-66-A-12
11,Alif Hoeomo Laboratories,Cinchona Officinalis,Liquid,FALSE,H-66-A-13
12,Alif Hoeomo Laboratories,Rhus Tox,Liquid,FALSE,H-66-A-14
13,Alif Hoeomo Laboratories,Medicago Sativa,Liquid,FALSE,H-66-A-15
14,Alif Hoeomo Laboratories,Ceanothus Americanus,Liquid,Ceanothus Americanus,H-66-A-16
15,Alif Hoeomo Laboratories,Atista Radix,Liquid,FALSE,H-66-A-17
16,Alif Hoeomo Laboratories,Artemisia Abrotanum,Liquid,Artemisia Abrotanum,H-66-A-18
17,Alif Hoeomo Laboratories,Cantharis,Liquid,FALSE,H-66-A-19
18,Alif Hoeomo Laboratories,Belladonna,Liquid,FALSE,H-66-A-20
19,Alif Hoeomo Laboratories,Lycopodium Clavatum,Liquid,FALSE,H-66-A-21
20,Alif Hoeomo Laboratories,Chelidonium Majus,Liquid,FALSE,H-66-A-22
21,Alif Hoeomo Laboratories,Calendula Oddicinalis,Liquid,FALSE,H-66-A-23
22,Alif Hoeomo Laboratories,Cina,Liquid,FALSE,H-66-A-24
23,Alif Hoeomo Laboratories,Berberis Vulgaris,Liquid,FALSE,H-66-A-25
24,Alif Hoeomo Laboratories,Krerosote,Liquid,Kreosote,H-66-A-26
25,Alif Hoeomo Laboratories,Secale Cornutum,Liquid,FALSE,H-66-A-27
26,Alif Hoeomo Laboratories,Aralia Quinquefolif,Liquid,Aralia Quinquefolif,H-66-A-28
27,Alif Hoeomo Laboratories,Apis Mellifica,Liquid,FALSE,H-66-A-29
