SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
1,4-S Labaratories (Unani),Sharbat Amrood,Liquid,Sharbat Amrood,U-297-A-034
2,4-S Labaratories (Unani),Sharbat Ejaz,Liquid,Sharbat Ejaz,U-297-A-035
3,4-S Labaratories (Unani),Sharbat Buzuri,Liquid,Sharbat Buzuri,U-297-A-036
4,4-S Labaratories (Unani),Qurs Niswani,Tablet,Qurs Niswani,U-297-A-037
5,4-S Labaratories (Unani),Qurs Bandish,Capsule,Qurs Bandish,U-297-A-038
6,4-S Labaratories (Unani),Qurs Asfar,Capsule,Qurs Asfar,U-297-A-039
7,4-S Labaratories (Unani),Habbe Hayateen Murakkab,Tablet,Habb-e Hayaeen Murakkab,U-297-A-040
8,4-S Labaratories (Unani),Habbe Hayateen Murakkab Jaw,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-297-A-041
9,4-S Labaratories (Unani),Brewers Yeast,Capsule,Brewers Yeast,U-297-A-042
10,4-S Labaratories (Unani),Gokkur,Capsule,Puncture Vine,U-297-A-043
11,4-S Labaratories (Unani),Harbikof,Liquid,Sharbat Tulsi,U-20-A-001
12,4-S Labaratories (Unani),Hazmi-S,Liquid,Sharbat Hazmina,U-20-A-002
13,4-S Labaratories (Unani),Leucobin,Liquid,Sharbat Niswan,U-20-A-003
14,4-S Labaratories (Unani),Hemoplus,Liquid,Sharbat Faulad,U-20-A-004
15,4-S Labaratories (Unani),Bilicon,Liquid,Sharbat Chylosin,U-20-A-005
16,4-S Labaratories (Unani),Jinsin-S,Liquid,Sharbat Jinsin,U-20-A-006
17,4-S Labaratories (Unani),Sebton,Liquid,Sharbat Seb,U-20-A-007
18,4-S Labaratories (Unani),Hemosaf,Liquid,Sharbat Musaffi,U-20-A-008
19,4-S Labaratories (Unani),Neogut,Liquid,Sharbat Atfal,U-20-A-009
20,4-S Labaratories (Unani),Crodis,Liquid,Sharbat Kurchi,U-20-A-010
21,4-S Labaratories (Unani),Ex-V,Capsule,Habb-e Ambar Momiyaee,U-20-A-011
22,4-S Labaratories (Unani),Jointis,Capsule,Qurs Awja,U-20-A-013
23,4-S Labaratories (Unani),Strayon,Capsule,Habb-e Ambari,U-20-A-014
24,4-S Labaratories (Unani),Harbitis,Tablet,Qurs Ziabit,U-20-A-015
25,4-S Labaratories (Unani),Hazmi-S,Tablet,Qurs Hazmina,U-20-A-016
26,4-S Labaratories (Unani),Harbolax,Tablet,Qurs Mulayin,U-20-A-017
27,4-S Labaratories (Unani),Orthotin,Tablet,Kushta Khare Mohra,U-297-A-018
28,4-S Labaratories (Unani),Caretin-S,Liquid,Sharbat Samarat,U-297-A-019
29,4-S Labaratories (Unani),Zinoron-S,Capsule,Qurs Faulad,U-297-A-020
30,4-S Labaratories (Unani),Enerbin,Capsule,Habb-e Asabin,U-297-A-021
31,4-S Labaratories (Unani),Rheucol,Capsule,Habb-e Suranjan,U-297-A-022
32,4-S Labaratories (Unani),4-Cid,Powder,Sufoof Mundamil,U-297-A-023
33,4-S Labaratories (Unani),Flucea,Capsule,Echinacea,U-297-A-024
34,4-S Labaratories (Unani),Ezolax,Powder,Ispaghula Husk,U-297-A-025
35,4-S Labaratories (Unani),Kavagen,Capsule,Kava Kava,U-297-A-026
36,4-S Labaratories (Unani),Ginobil,Capsule,Ginkgo Biloba 120 mg,U-297-A-027
37,4-S Labaratories (Unani),Oviset,Capsule,Black Cohosh,U-297-A-028
38,4-S Labaratories (Unani),Leaf kof,Liquid,Sharbat Vasac,U-297-A-029
39,4-S Labaratories (Unani),Sylwel,Capsule,Milk Thistle 140 mg,U-297-A-030
40,4-S Labaratories (Unani),S-Pal,Capsule,Saw Palmetto 160 mg,U-297-A-031
41,4-S Labaratories (Unani),Imuline,Capsule,Spirulina,U-297-A-032
42,4-S Labaratories (Unani),Veribon,Capsule,Horsetail,U-297-A-033
